id,name,party,type
ul,ursula von der Leyen,cdu,2
lk,Lars Klingbeil,spd,2
nr,Norbert Röttgen,cdu,2
sw,Sahra Wagenknecht,dl,2
cs,Constanze Stelzenmüller,na,2
cl,Christian Lindner,fdp,2
ks,Karl Schlögel,na,2
lm,Ljudmyla Melnyk,na,2
kd,Kristina Dunz,na,2
el,Egils Levits ,na,2
ab,Annalena Baerbock,gr,2
ft,Frans Timmermans,na,2
am,Andrij Melnyk,na,2
al,Alexander Graf Lambsdorff,fdp,2
er,Egon Ramms ,na,2
rh,Robert Habeck,gr,2
cm,Claudia Major,na,2
kp,Katja Petrowskaja ,na,2
rk,Roderich Kiesewetter ,cdu,2
500,Folge 500,na,1
501,Folge 501,na,1
502,Folge 502,na,1
503,Folge 503,na,1
